Region,State,Commune,Household Size,Household Role,Recipient,Gender,Age,Assistance Time,Modality
Centre Nord,Sanmatenga,   Boussouma,3,HD,P,F,55.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,12,HD,P,M,23.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,4,HD,P,M,29.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,8,HD,P,M,28.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,29.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,10,HD,P,M,64.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,8,HD,P,M,30.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,7,HD,P,F,27.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,24.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,42.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,37.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,5,HD,P,M,28.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,12,HD,P,F,29.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,7,HD,P,M,30.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,11,HD,P,M,36.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,10,HD,P,M,43.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,72.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,8,HD,P,M,72.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,12,HD,P,F,37.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,F,43.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,6,HD,P,M,22.0,2020-11-10,Cash
Centre Nord,Sanmatenga,   Boussouma,11,HD,P,M,39.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,6,HD,P,M,48.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,10,HD,P,F,25.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,8,HD,P,M,45.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,8,HD,P,M,42.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,6,HD,P,F,37.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,12,HD,P,F,,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,11,HD,P,M,23.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,7,HD,P,M,46.0,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,15,HD,P,M,,2020-11-10,Cash
Centre Nord,Sanmatenga,Korsimoro,8,HD,P,F,37.0,2020-11-10,Cash
